Browser,Record ID,URL,Title,Visit Count,Hidden,Last Visit Time,Visit Duration (secs),Transition Type
Chrome/Edge,12669,https://www.linkedin.com/feed/update/urn:li:activity:7433967799372537856/,Post | Feed | LinkedIn,1,No,2026-03-06 12:37:19.688822,11.157942,Link
Chrome/Edge,12668,https://www.linkedin.com/in/kalyan-kumar-dash-15605a2a0/,Feed | LinkedIn,1,No,2026-03-06 12:37:02.102589,17.590034,Link
Chrome/Edge,12667,https://www.linkedin.com/in/kalyan-kumar-dash-15605a2a0/?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAEifWVIBh7CTPve6o3L_fbeYBrE6dXFb0oI,LinkedIn,1,No,2026-03-06 12:37:01.841141,0.264732,Link
Chrome/Edge,12666,https://www.linkedin.com/in/kalyan-kumar-dash-15605a2a0/?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAEifWVIBh7CTPve6o3L_fbeYBrE6dXFb0oI&lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_recent_activity_content_view%3BePfMxkm4QbaRe6kCO8sueQ%3D%3D,LinkedIn,1,No,2026-03-06 12:37:01.657155,0.187028,Link
Chrome/Edge,12664,https://www.linkedin.com/in/kalyan-kumar-dash-15605a2a0?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAEifWVIBh7CTPve6o3L_fbeYBrE6dXFb0oI&lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_recent_activity_content_view%3BePfMxkm4QbaRe6kCO8sueQ%3D%3D,LinkedIn,1,No,2026-03-06 12:36:59.451169,2.21114,Typed
Chrome/Edge,12652,https://www.instagram.com/reel/DVAEn7tiCn4/?l=1,Instagram,1,No,2026-03-06 11:12:19.960298,0,Reload
Chrome/Edge,12665,https://github.com/MartinxMax,MartinxMax (Мартин.) · GitHub,1,No,2026-03-06 11:12:08.628854,10.364888,Link
Chrome/Edge,12663,https://chatgpt.com/c/69aa8565-7100-8320-96b5-476a7391b95a,Opening .ova in VMware VB,1,No,2026-03-06 07:43:16.729781,29.209294,Reload
Chrome/Edge,12663,https://chatgpt.com/c/69aa8565-7100-8320-96b5-476a7391b95a,Opening .ova in VMware VB,1,No,2026-03-06 07:42:52.548191,24.184806,Link
Chrome/Edge,3,https://chatgpt.com/,ChatGPT,123,No,2026-03-06 07:42:32.978256,19.572422,Link
Chrome/Edge,3,https://chatgpt.com/,ChatGPT,123,No,2026-03-06 07:42:31.177117,1.802352,Typed
Chrome/Edge,12649,https://docs.google.com/forms/d/e/1FAIpQLSeA1Tl2bJcCdbrNCGWb522WHffLIaNFd6MAKlLDsCyZPNKKPg/viewform,Internship Registration form,1,No,2026-03-05 18:19:28.024940,22.608584,Link
Chrome/Edge,12651,https://docs.google.com/forms/d/e/1FAIpQLSeA1Tl2bJcCdbrNCGWb522WHffLIaNFd6MAKlLDsCyZPNKKPg/viewform?usp=send_form,Internship Registration form,1,No,2026-03-05 18:19:26.798295,1.229472,Link
Chrome/Edge,12650,https://forms.gle/7cJLeFAa1fgbP4ZZ8,Internship Registration form,1,No,2026-03-05 18:19:26.798295,0,Link
Chrome/Edge,12652,https://www.instagram.com/reel/DVAEn7tiCn4/?l=1,Instagram,1,No,2026-03-05 17:02:19.998538,0,Link
Chrome/Edge,12653,https://www.instagram.com/reel/DVAEn7tiCn4/?igsh=MXIwY3d6Z2lvb3VtbA%3D%3D,Instagram,1,No,2026-03-05 17:02:17.262730,2.740168,Link
Chrome/Edge,12654,https://www.instagram.com/reel/DVAEn7tiCn4/?igsh=MXIwY3d6Z2lvb3VtbA==,Instagram,1,No,2026-03-05 17:02:15.251291,2.015569,Link
Chrome/Edge,12661,https://classroom.google.com/u/3/c/ODE4NzgzNDM5MTA3/p/ODQ3ODA5MjM3MzA1?email=23cseaiml150.shradhasumannayak@giet.edu&pli=1,UNIT 3,1,No,2026-03-05 10:10:08.031759,19.553148,Link
Chrome/Edge,12660,https://classroom.google.com/u/3/c/ODE4NzgzNDM5MTA3/p/ODQ3ODA5MjM3MzA1?email=23cseaiml150.shradhasumannayak@giet.edu&pli=1&authuser=3,UNIT 3,1,No,2026-03-05 10:10:08.031759,0,Link
