Browser,Target Path,Source URL,Start Time,End Time,Total Bytes,MIME Type,State
Chrome/Edge,C:\Users\nayak\Downloads\browser-forensics-tool (1).jsx,https://claude.ai/chat/9f88278c-ef27-4a5f-ab94-436673ece336,2026-03-02 05:37:40.910542,2026-03-02 05:37:41.566028,61072,application/octet-stream,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\browser-forensics-tool.jsx,https://claude.ai/chat/9f88278c-ef27-4a5f-ab94-436673ece336,2026-03-02 05:37:34.681262,2026-03-02 05:37:35.790711,61072,application/octet-stream,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\files.zip,https://claude.ai/chat/aa484c0f-976a-4f78-8141-5a23ad5ce25f,2026-02-28 11:36:07.568299,2026-02-28 11:36:09.665073,43917,application/x-zip-compressed,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\case_manifest.json,https://claude.ai/new,2026-02-26 12:41:38.062152,2026-02-26 12:41:38.178901,2422,application/json,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\browserforensix.py,https://claude.ai/new,2026-02-26 12:41:37.141093,2026-02-26 12:41:37.568534,82601,application/octet-stream,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\FORENSIX_REPORT.html,https://claude.ai/new,2026-02-26 12:41:36.246157,2026-02-26 12:41:38.198401,160865,text/html,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\browser-forensics-app (1).html,https://claude.ai/new,2026-02-26 12:23:56.033752,2026-02-26 12:23:57.085826,101557,text/html,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\browser-forensics-app.html,https://claude.ai/chat/aa484c0f-976a-4f78-8141-5a23ad5ce25f,2026-02-26 12:21:42.380345,2026-02-26 12:21:45.554986,101557,text/html,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\Multi_Browser_Forensic_Tool.docx,https://claude.ai/chat/aa484c0f-976a-4f78-8141-5a23ad5ce25f,2026-02-26 12:12:14.564851,2026-02-26 12:12:15.368692,28426,application/vnd.openxmlformats-officedocument.wordprocessingml.document,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\Summer-Fellowship-Bonafide- UG (1).docx,https://ssp.iitm.ac.in/assets/templates/Summer-Fellowship-Bonafide-%20UG.docx,2026-02-18 03:31:48.492779,2026-02-18 03:31:50.243424,12800,application/vnd.openxmlformats-officedocument.wordprocessingml.document,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\WebBrowserForensicTools.pdf,https://www.researchgate.net/profile/Adamu-Hassan-5/publication/352820673_Web_Browser_Forensic_Tools_Autopsy_BHE_and_Net_Analysis/links/618c1f0bd7d1af224bd240bd/Web-Browser-Forensic-Tools-Autopsy-BHE-and-Net-Analysis.pdf?origin=publication_detail&_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6InB1YmxpY2F0aW9uIiwicGFnZSI6InB1YmxpY2F0aW9uRG93bmxvYWQiLCJwcmV2aW91c1BhZ2UiOiJwdWJsaWNhdGlvbiJ9fQ&__cf_chl_tk=6kq5Kv._TpF5GgPzMo669k_NB4VtkQ05BOphojEFid0-1771379706-1.0.1.1-d8vkDzv6Dw4PoMgXBdmb_RpAgeXaEvkaL5zvSkWvzHE,2026-02-18 01:55:18.359683,2026-02-18 01:55:21.268091,1246335,application/pdf,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\Advancing_Web_Browser_Forensics_Critical_Evaluatio (1).pdf,https://www.researchgate.net/publication/384974548_Advancing_Web_Browser_Forensics_Critical_Evaluation_of_Emerging_Tools_and_Techniques/link/67108b80d796f96b8ebc4caa/download?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6InB1YmxpY2F0aW9uIiwicGFnZSI6InB1YmxpY2F0aW9uIn19,2026-02-17 10:41:34.934130,2026-02-17 10:41:38.964915,3514389,application/pdf,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\Advancing_Web_Browser_Forensics_Critical_Evaluatio.pdf,https://www.researchgate.net/publication/384974548_Advancing_Web_Browser_Forensics_Critical_Evaluation_of_Emerging_Tools_and_Techniques/link/67108b80d796f96b8ebc4caa/download?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6InB1YmxpY2F0aW9uIiwicGFnZSI6InB1YmxpY2F0aW9uIn19,2026-02-17 10:38:21.038049,2026-02-17 10:38:24.303958,3514389,application/pdf,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\VMware-Workstation-Full-25H2-24995812.exe,https://support.broadcom.com/group/ecx/productfiles?subFamily=VMware%20Workstation%20Pro&displayGroup=VMware%20Workstation%20Pro%2025H2%20for%20Windows&release=25H2&os=&servicePk=&language=EN&freeDownloads=true,2026-02-14 03:55:51.533061,2026-02-14 03:57:31.119451,291114376,application/x-msdownload,InProgress
Chrome/Edge,C:\Users\nayak\Downloads\Wireshark-4.6.3-x64.exe,https://2.na.dl.wireshark.org/win64/Wireshark-4.6.3-x64.exe?_gl=1*1uob40z*_ga*MjA3OTUyNDE5Ny4xNzcwNzQ2MDAz*_ga_YLHRKD6LH6*czE3NzA3NDYwMDIkbzEkZzAkdDE3NzA3NDYwMDIkajYwJGwwJGgw,2026-02-10 17:53:31.731228,2026-02-10 18:18:20.202123,96653880,application/x-msdownload,InProgress
