Browser,Domain,Name,Path,Creation Time,Expiration Time,Secure,HTTP Only,SameSite
Chrome/Edge,accounts.google.com,ACCOUNT_CHOOSER,/,2025-05-17 08:50:49.581416,2026-06-21 08:50:49.581416,Yes,Yes,-1
Chrome/Edge,.github.com,_octo,/,2025-05-17 08:51:24.174895,2026-05-17 08:51:24.174895,Yes,No,1
Chrome/Edge,.chatgpt.com,oai-did,/,2025-05-17 08:51:28.892892,2026-05-12 08:51:28.892892,No,No,1
Chrome/Edge,tryhackme.com,cookieconsent_status,/,2025-05-17 08:51:40.041698,2026-05-17 08:51:40,No,No,-1
Chrome/Edge,.openai.com,oai-did,/,2025-05-17 08:51:52.765922,2026-05-17 08:51:52.765922,No,No,1
Chrome/Edge,chatgpt.com,oai-hlib,/,2025-05-17 08:52:05.265018,2026-05-12 08:52:05.265018,No,No,1
Chrome/Edge,.auth.openai.com,cf_clearance,/,2025-05-17 08:51:54.622961,2026-05-17 08:51:54.622961,Yes,Yes,0
Chrome/Edge,www.udemy.com,existing_user,/,2025-05-17 08:52:57.464962,2026-05-17 08:52:57,No,No,-1
Chrome/Edge,www.udemy.com,ud_firstvisit,/,2025-05-17 08:53:00.176586,2026-05-17 08:53:00.176586,No,No,-1
Chrome/Edge,.udemy.com,__ssid,/,2025-05-17 08:53:03.587645,2026-06-21 08:53:03.587622,No,No,-1
Chrome/Edge,.udemy.com,_yjsu_yjad,/,2025-05-17 08:53:04.486220,2026-05-17 08:53:04,No,No,-1
Chrome/Edge,.criteo.com,uid,/,2025-05-17 08:53:04.941760,2026-06-11 08:53:03.941760,Yes,No,0
Chrome/Edge,.bat.bing.com,MSPTC,/,2025-05-17 08:53:05.116186,2026-06-11 08:53:06.116186,Yes,No,0
Chrome/Edge,.eccouncil.org,cookieyes-consent,/,2025-05-17 09:01:56.680530,2026-05-17 09:01:56,Yes,No,2
Chrome/Edge,.coursera.org,__204u,/,2025-05-17 09:03:37.052869,2026-05-17 09:03:37.052869,No,No,-1
Chrome/Edge,.bing.com,MSPTC,/,2025-05-17 09:04:15.053370,2026-06-11 09:04:15.053370,Yes,No,0
Chrome/Edge,.bidswitch.net,c,/,2025-05-17 09:09:03.991407,2026-05-17 09:09:03.991562,Yes,No,0
Chrome/Edge,.bidswitch.net,tuuid,/,2025-05-17 09:09:03.991283,2026-05-17 09:09:04.192183,Yes,No,0
Chrome/Edge,.bidswitch.net,tuuid_lu,/,2025-05-17 09:09:03.991530,2026-05-17 09:09:04.192347,Yes,No,0
Chrome/Edge,.bing.com,MUID,/,2025-05-17 08:53:04.787242,2026-06-11 09:09:07.855992,Yes,No,0
Chrome/Edge,.media.net,visitor-id,/,2025-05-17 09:09:07.154262,2026-05-17 09:09:07.154262,Yes,No,0
Chrome/Edge,.yahoo.com,A3,/,2025-05-17 09:09:53.369101,2026-05-17 15:09:53.369101,Yes,Yes,0
Chrome/Edge,.adsrvr.org,TDCPM,/,2025-05-17 09:09:52.631080,2026-05-17 09:09:52.631080,Yes,No,0
Chrome/Edge,.adsrvr.org,TDID,/,2025-05-17 09:09:52.511889,2026-05-17 09:09:52.630978,Yes,No,0
Chrome/Edge,.clarity.ms,MUID,/,2025-05-17 09:51:58.630922,2026-06-11 09:51:58.630922,Yes,No,0
Chrome/Edge,.youtube.com,LOGIN_INFO,/,2025-05-17 09:56:15.789805,2026-06-21 09:56:15.789805,Yes,Yes,0
Chrome/Edge,.bing.com,SRCHD,/,2025-05-18 14:23:41.917172,2026-06-22 14:23:41.917172,Yes,No,0
Chrome/Edge,.bing.com,SRCHUID,/,2025-05-18 14:23:41.917241,2026-06-22 14:23:41.917241,Yes,No,0
Chrome/Edge,.bing.com,_HPVN,/,2025-05-18 14:23:41.917408,2026-06-22 14:23:41.917408,Yes,No,0
Chrome/Edge,.casalemedia.com,CMID,/,2025-05-17 09:09:05.398537,2026-05-18 15:06:47.558822,Yes,No,0
Chrome/Edge,.socdm.com,SOC,/,2025-05-17 09:09:04.938308,2026-06-22 15:06:47.961165,Yes,No,0
Chrome/Edge,.smartadserver.com,TestIfCookieP,/,2025-05-18 15:06:47.217755,2026-06-18 15:06:47.217755,Yes,No,0
Chrome/Edge,.1rx.io,_rxuuid,/,2025-05-18 15:06:48.013459,2026-05-18 15:06:48.013459,Yes,Yes,0
Chrome/Edge,.rubiconproject.com,khaos,/,2025-05-18 15:06:47.332301,2026-05-18 15:06:47.332301,Yes,No,0
Chrome/Edge,m.stripe.com,m,/,2025-05-17 08:53:07.181442,2026-06-22 15:06:47.917869,Yes,Yes,0
Chrome/Edge,.pubmatic.com,KADUSERCOOKIE,/,2025-05-18 15:06:51.124563,2026-05-18 15:06:51.124563,Yes,No,0
Chrome/Edge,.targeting.unrulymedia.com,_rxuuid,/,2025-05-18 15:06:49.063028,2026-05-18 15:06:49.063028,Yes,Yes,0
Chrome/Edge,.bidr.io,bito,/,2025-05-18 15:06:48.882225,2026-06-17 11:06:48.882225,Yes,No,0
Chrome/Edge,.bidr.io,bitoIsSecure,/,2025-05-18 15:06:48.882490,2026-06-17 11:06:48.882490,Yes,No,0
Chrome/Edge,.teads.tv,tt_viewer,/,2025-05-18 15:06:48.346374,2026-05-17 15:06:48.346374,Yes,No,0
Chrome/Edge,.cio.com,__eoi,/,2025-05-20 14:39:08.861885,2025-11-16 14:39:05,Yes,No,0
Chrome/Edge,.cio.com,__gads,/,2025-05-20 14:39:08.860868,2026-06-14 14:39:05,Yes,No,0
Chrome/Edge,.cio.com,__gpi,/,2025-05-20 14:39:08.861152,2026-06-14 14:39:05,Yes,No,0
Chrome/Edge,www.cio.com,__io_first_source,/,2025-05-20 14:39:03.392282,2026-05-20 14:39:03,No,No,-1
Chrome/Edge,www.cio.com,__io_lv,/,2025-05-20 14:39:03.393757,2026-05-20 14:39:03,No,No,-1
Chrome/Edge,.cio.com,__io_pr_utm_campaign,/,2025-05-20 14:39:03.396932,2026-05-20 14:39:03,No,No,-1
Chrome/Edge,.cio.com,_autid,/,2025-05-20 14:39:09.621855,2026-06-24 14:39:09.621855,Yes,No,0
Chrome/Edge,.cio.com,_ga,/,2025-05-20 14:39:07.490649,2026-06-24 14:39:07.490625,No,No,-1
Chrome/Edge,.cio.com,_gcl_au,/,2025-05-20 14:39:05.697516,2025-08-18 14:39:05,No,No,-1
Chrome/Edge,.cio.com,_rdt_uuid,/,2025-05-20 14:39:06.881717,2025-08-18 14:39:06,Yes,No,2
Chrome/Edge,.cio.com,ccpaApplies,/,2025-05-20 14:39:06.385291,2026-05-20 14:39:06.385277,Yes,No,0
Chrome/Edge,.cio.com,ccpaUUID,/,2025-05-20 14:39:07.569903,2026-05-20 14:39:07.569873,Yes,No,0
Chrome/Edge,.cio.com,consentUUID,/,2025-05-20 14:39:07.452170,2026-05-20 14:39:07.452126,Yes,No,0
Chrome/Edge,www.cio.com,currentSessionDate,/,2025-05-20 14:39:05.219350,2026-06-24 14:39:05.219327,No,No,-1
Chrome/Edge,.cio.com,dnsDisplayed,/,2025-05-20 14:39:06.385083,2026-05-20 14:39:06.385059,Yes,No,0
Chrome/Edge,www.cio.com,firstSessionDate,/,2025-05-20 14:39:05.219231,2026-06-24 14:39:05.219213,No,No,-1
